ip_id,sim_score,testcase_id,usecase_id
4,0.8338870071673196,0,use_case_1
20,0.8624988888726922,0,use_case_1
4,0.859855737123315,0,use_case_2
20,0.847959481811718,0,use_case_2
20,0.8093371783849547,0,use_case_3
4,0.8351567876075844,0,use_case_4
8,0.8008562528225889,0,use_case_4
13,0.8108870542854423,0,use_case_4
15,0.822954931945351,0,use_case_4
20,0.8536732646601568,0,use_case_4
4,0.8583450753101999,0,use_case_5
20,0.8545859101568226,0,use_case_5
4,0.811815197910756,1,use_case_1
20,0.8476026078638984,1,use_case_1
4,0.8425536710587115,1,use_case_2
9,0.8019583682418786,1,use_case_2
20,0.8379936403047766,1,use_case_2
4,0.8500493826849767,1,use_case_3
20,0.8413631443139797,1,use_case_3
4,0.8176265267237667,1,use_case_4
20,0.8309699544152999,1,use_case_4
4,0.8182192785446709,1,use_case_5
20,0.8359405316094016,1,use_case_5
20,0.8030281480736605,2,use_case_3
8,0.8028162197506988,3,use_case_1
8,0.8019310981588612,3,use_case_2
8,0.8045865220302345,3,use_case_3
2,0.8004070508590976,3,use_case_4
7,0.8123516959834506,3,use_case_4
8,0.8120320027330099,3,use_case_4
9,0.8132711142878958,3,use_case_4
14,0.8100042101152702,3,use_case_4
15,0.8327073977173314,3,use_case_4
16,0.8410024606738351,3,use_case_4
17,0.83982312459013,3,use_case_4
8,0.8041073189345458,3,use_case_5
15,0.8147263144500352,3,use_case_5
4,0.8033224131309014,4,use_case_1
8,0.8450488723823909,4,use_case_1
9,0.8524519665920527,4,use_case_1
15,0.8005491597248912,4,use_case_1
8,0.8271869600213864,4,use_case_2
9,0.8322561960632879,4,use_case_2
15,0.8082902718312639,4,use_case_2
8,0.8267437129408416,4,use_case_3
8,0.8111432229485139,4,use_case_4
9,0.8061533618766489,4,use_case_4
8,0.8215601097916526,4,use_case_5
9,0.8319926529561263,4,use_case_5
2,0.8490609931708437,5,use_case_1
2,0.8208960372597123,5,use_case_2
2,0.8460793893030475,5,use_case_3
7,0.8058174405500909,5,use_case_3
8,0.8084163972056637,5,use_case_3
9,0.8030070417083605,5,use_case_3
12,0.8116058924128273,5,use_case_3
14,0.8044963305620508,5,use_case_3
15,0.8047311652037251,5,use_case_3
21,0.800703065689811,5,use_case_3
2,0.8233282160888128,5,use_case_4
2,0.8273458728795696,5,use_case_5
15,0.8024768360631811,5,use_case_5
2,0.8174182584394893,6,use_case_2
7,0.8070040976950967,6,use_case_2
8,0.8247204701683376,6,use_case_2
9,0.8141476191146226,6,use_case_2
12,0.804057337593754,6,use_case_2
13,0.8139664923744958,6,use_case_2
14,0.8210059747023993,6,use_case_2
15,0.8114372608709487,6,use_case_2
21,0.8085384236290759,6,use_case_2
8,0.8012789056027982,6,use_case_3
8,0.8095237387164697,6,use_case_4
9,0.8086608685020714,6,use_case_4
15,0.8092354624496392,6,use_case_4
21,0.8017011020296244,6,use_case_4
8,0.8052096947959879,6,use_case_5
15,0.8031014178244524,6,use_case_5
10,0.8080948931250886,7,use_case_1
13,0.8029771875266152,7,use_case_1
14,0.804453313240027,7,use_case_1
15,0.8059030817283404,7,use_case_1
4,0.8001787898464786,7,use_case_4
2,0.8156102489087561,7,use_case_5
4,0.8208301971014796,7,use_case_5
7,0.8258875454123927,7,use_case_5
8,0.8179474519292621,7,use_case_5
9,0.8145656982408688,7,use_case_5
10,0.8032180119930715,7,use_case_5
13,0.8047971144347095,7,use_case_5
14,0.8359136109750848,7,use_case_5
15,0.817671505324575,7,use_case_5
20,0.8202973767633199,7,use_case_5
2,0.8153793076801096,8,use_case_1
8,0.8034758437524259,8,use_case_1
2,0.836687977932444,8,use_case_2
8,0.8048898740188966,8,use_case_2
15,0.8015176922469792,8,use_case_2
2,0.8137100690810005,8,use_case_3
4,0.8066240437437991,8,use_case_5
8,0.8274681734104143,8,use_case_5
14,0.8014741465719312,8,use_case_5
15,0.8076744864886177,8,use_case_5
20,0.8039397158646127,8,use_case_5
8,0.800790495108337,9,use_case_1
8,0.8052187948082858,9,use_case_2
8,0.8291058431895965,9,use_case_3
15,0.8074325941978253,9,use_case_3
8,0.8418458465737273,9,use_case_4
9,0.814261341731904,9,use_case_4
4,0.8121898400345999,9,use_case_5
8,0.829811253243302,9,use_case_5
14,0.8037293367487726,9,use_case_5
15,0.8087945990869316,9,use_case_5
20,0.8079928130083783,9,use_case_5
2,0.8142703910450383,10,use_case_1
2,0.8014601723770766,10,use_case_2
2,0.8134498819023093,10,use_case_4
2,0.8075463258357263,10,use_case_5
4,0.8050792946651859,11,use_case_1
4,0.823991722997734,11,use_case_2
20,0.8216437269865758,11,use_case_2
0,0.8024483560906498,11,use_case_3
2,0.8101089424495737,11,use_case_3
4,0.8379423108295315,11,use_case_3
6,0.8131709131613095,11,use_case_3
7,0.8021285216155175,11,use_case_3
8,0.8295779763793765,11,use_case_3
9,0.8377823824399936,11,use_case_3
13,0.8044755918611273,11,use_case_3
14,0.8222458097264417,11,use_case_3
15,0.8171563593595124,11,use_case_3
20,0.8257854084843274,11,use_case_3
21,0.8024509128065066,11,use_case_3
4,0.8303568891011399,11,use_case_4
8,0.8039934992846836,11,use_case_4
14,0.8078932822852959,11,use_case_4
20,0.832044983535233,11,use_case_4
21,0.8093652504628269,11,use_case_4
4,0.838850115257341,11,use_case_5
8,0.800197277241153,11,use_case_5
9,0.8156686225075116,11,use_case_5
10,0.8031001733054114,11,use_case_5
15,0.8077102833327544,11,use_case_5
20,0.8438436747459924,11,use_case_5
2,0.8076665547724128,12,use_case_3
4,0.8013092668820102,12,use_case_3
2,0.8138394290534812,12,use_case_4
20,0.8055965556109255,12,use_case_4
20,0.8042687378765087,12,use_case_5
4,0.8032946585170667,13,use_case_1
8,0.8267088682890966,13,use_case_1
15,0.8146344666908504,13,use_case_1
8,0.8215965098893269,13,use_case_2
8,0.8110085887549855,13,use_case_3
8,0.8165447824723175,13,use_case_4
15,0.8095595408346655,13,use_case_4
20,0.8026349381373965,13,use_case_4
8,0.8184942979180938,13,use_case_5
15,0.8232676860287026,13,use_case_5
8,0.8092562921447922,14,use_case_1
8,0.8216256483253991,14,use_case_3
14,0.8034358987168737,14,use_case_3
15,0.8028948295656614,14,use_case_3
4,0.8121308187321983,14,use_case_4
8,0.8401727816761421,14,use_case_4
15,0.8118330345123999,14,use_case_4
20,0.8023494702616928,14,use_case_4
4,0.8007827330688384,14,use_case_5
8,0.8068813430696176,14,use_case_5
14,0.81163203478916,14,use_case_5
15,0.8218631196929138,14,use_case_5
8,0.8253352416697348,15,use_case_1
15,0.8019524850944133,15,use_case_1
8,0.802689873117024,15,use_case_2
15,0.8509781205851513,15,use_case_2
8,0.8069072582928175,15,use_case_4
9,0.8227706529126138,15,use_case_4
8,0.8427886765081551,15,use_case_5
13,0.8054605006995152,15,use_case_5
15,0.8389104383254817,15,use_case_5
4,0.8126587688337544,17,use_case_1
15,0.8048660696302414,17,use_case_1
20,0.8223127549910555,17,use_case_1
4,0.8267278873412657,17,use_case_2
20,0.8632477828089427,17,use_case_2
4,0.8134943187013645,17,use_case_3
8,0.8050270444652826,17,use_case_3
9,0.8159876669596122,17,use_case_3
15,0.8245079324803276,17,use_case_3
